pair,partnership_runs
KC Sangakkara & RS Bopara,151
S Dhawan & Yuvraj Singh,151
GH Vihari & S Dhawan,151
DPMD Jayawardene & NV Ojha,151
DJ Hussey & WP Saha,151
RR Sarwan & SE Marsh,151
JM Sharma & M Shahrukh Khan,151
HM Amla & WP Saha,150
M Vohra & Mandeep Singh,150
DJ Harris & S Dhawan,150
KA Pollard & SA Yadav,149
JR Hopes & Y Venugopal Rao,149
V Sehwag & WP Saha,149
DA Warner & R Powell,149
DA Miller & V Sehwag,149
RA Jadeja & YK Pathan,149
Abishek Porel & SD Hope,149
BJ Hodge & PA Patel,148
CA Pujara & GJ Maxwell,148
HM Amla & M Vijay,147
D Brevis & Ishan Kishan,147
F du Plessis & SPD Smith,147
AR Patel & GJ Bailey,147
AM Rahane & F du Plessis,147
SPD Smith & STR Binny,145
DA Warner & Lalit Yadav,145
CA Pujara & CH Gayle,145
R Tewatia & SV Samson,144
HM Amla & M Vohra,144
Mandeep Singh & N Saini,144
G Gambhir & M Manhas,143
HC Brook & MA Agarwal,143
DJ Hooda & MP Stoinis,142
Harbhajan Singh & RG Sharma,142
G Gambhir & KD Karthik,142
Anuj Rawat & KD Karthik,142
D Padikkal & GJ Maxwell,141
EJG Morgan & MS Bisla,141
Ashutosh Sharma & Shashank Singh,141
NV Ojha & YK Pathan,141
GJ Maxwell & V Sehwag,141
IK Pathan & PP Chawla,141
TM Dilshan & V Kohli,141
EJG Morgan & MK Tiwary,140
DA Miller & M Vohra,140
KS Williamson & Yuvraj Singh,139
BA Stokes & MS Dhoni,139
KP Pietersen & LRPL Taylor,139
MS Dhoni & S Dube,139
GJ Maxwell & RM Patidar,139
AB de Villiers & MC Henriques,139
Gurkeerat Singh & SO Hetmyer,138
AT Rayudu & CJ Anderson,138
MK Pandey & R Dravid,138
AM Rahane & MS Dhoni,137
KD Karthik & M Manhas,137
Y Nagar & Y Venugopal Rao,137
R Dravid & STR Binny,137
JH Kallis & SP Goswami,136
M Vijay & MS Dhoni,136
JJ Roy & KS Williamson,136
Q de Kock & RR Pant,136
MS Dhoni & NLTC Perera,135
JC Buttler & RA Tripathi,135
RV Uthappa & SPD Smith,135
AM Rahane & JP Duminy,135
DJ Bravo & SR Tendulkar,135
LRPL Taylor & R Dravid,135
KK Nair & SR Watson,135
GJ Bailey & MG Johnson,134
KA Pollard & SR Tendulkar,134
AR Patel & MP Stoinis,134
CH Gayle & PA Patel,134
Azhar Mahmood & Mandeep Singh,133
MM Ali & S Dube,133
JP Duminy & MK Tiwary,133
SR Watson & YK Pathan,132
F du Plessis & KP Pietersen,132
JM Sharma & Shashank Singh,132
H Klaasen & Shahbaz Ahmed,132
MA Agarwal & Vivrant Sharma,131
DA Miller & M Vijay,131
BB McCullum & JH Kallis,131
N Pooran & RA Tripathi,131
KP Pietersen & MA Agarwal,131
DA Warner & DJ Hooda,130
JD Ryder & SPD Smith,130
IK Pathan & Y Nagar,130
KD Karthik & TM Dilshan,130
GJ Maxwell & SE Marsh,129
B Chipli & JP Duminy,129
RV Uthappa & Shubman Gill,129
RA Jadeja & SM Curran,129
IK Pathan & SE Marsh,129
K Goel & RS Bopara,129
SO Hetmyer & SS Iyer,129
RK Singh & SS Iyer,128
KA Pollard & LMP Simmons,128
GJ Bailey & R Dhawan,128
S Dhawan & V Sehwag,128
MK Lomror & SV Samson,127
R Powell & RR Pant,127
M Kaif & SR Watson,127
RA Tripathi & SV Samson,127
KM Jadhav & TM Head,127
AJ Finch & RA Jadeja,127
AB de Villiers & Sachin Baby,127
JC Buttler & R Ashwin,127
R Parag & YBK Jaiswal,126
BA Stokes & MK Tiwary,126
SA Yadav & Shakib Al Hasan,126
AC Gilchrist & Azhar Mahmood,126
A Manohar & DA Miller,126
KA Pollard & N Rana,126
MM Ali & RA Jadeja,125
DA Warner & Yuvraj Singh,125
SS Iyer & SV Samson,125
MA Agarwal & Yuvraj Singh,125
B Chipli & KC Sangakkara,125
BJ Hodge & J Botha,125
C de Grandhomme & Mandeep Singh,124
LRPL Taylor & W Jaffer,124
AD Russell & EJG Morgan,124
MK Lomror & RM Patidar,124
AD Mathews & OA Shah,123
Atharva Taide & LS Livingstone,123
M Vijay & SR Watson,123
BJ Hodge & DH Yagnik,123
CA Pujara & V Sehwag,123
D Brevis & Tilak Varma,123
RG Sharma & Tilak Varma,123
HH Pandya & SS Tiwary,123
LS Livingstone & M Shahrukh Khan,123
S Sohal & SM Katich,122
JEC Franklin & KD Karthik,122
Abhishek Sharma & PK Garg,122
LRPL Taylor & V Sehwag,122
RG Sharma & SB Styris,120
C Green & RM Patidar,120
IK Pathan & V Sehwag,120
F du Plessis & KM Jadhav,120
S Rana & Yuvraj Singh,119
AT Rayudu & JEC Franklin,119
P Dogra & YK Pathan,119
CJ Anderson & KA Pollard,118
R Tewatia & Shubman Gill,117
EJG Morgan & N Rana,117
J Botha & R Dravid,117
RV Uthappa & SV Samson,117
AD Mathews & SPD Smith,117
AB de Villiers & KM Jadhav,117
MV Boucher & V Kohli,116
CH Morris & CJ Anderson,116
R Ashwin & YBK Jaiswal,116
DJ Hooda & MC Henriques,116
AD Mathews & MR Marsh,116
M Shahrukh Khan & SM Curran,116
BJ Hodge & MK Tiwary,115
KA Pollard & Tilak Varma,115
KK Nair & SW Billings,115
HH Pandya & Q de Kock,115
BA Stokes & RA Tripathi,115
AR Patel & DA Warner,115
IK Pathan & Yuvraj Singh,115
MJ Clarke & SC Ganguly,115
AB de Villiers & STR Binny,115
AM Rahane & DJM Short,115
A Badoni & DJ Hooda,115
MP Stoinis & Q de Kock,114
R Dravid & SP Goswami,114
KM Jadhav & RA Jadeja,114
KC Sangakkara & PA Patel,114
Harbhajan Singh & SR Tendulkar,114
BB McCullum & MS Dhoni,113
AD Mathews & JP Duminy,113
LRPL Taylor & RV Uthappa,113
MS Dhoni & P Negi,113
PD Salt & RR Rossouw,113
CA Pujara & V Kohli,112
Q de Kock & SS Iyer,112
Nithish Kumar Reddy & TM Head,112
AJ Finch & Yuvraj Singh,112
H Klaasen & TM Head,112
JH Kallis & MV Boucher,112
TM Head & V Kohli,112
MK Tiwary & SPD Smith,112
DB Ravi Teja & DT Christian,112
JP Duminy & KC Sangakkara,112
SP Narine & Shubman Gill,111
RK Singh & Rahmanullah Gurbaz,111
KS Williamson & PK Garg,111
KP Pietersen & V Kohli,111
JO Holder & KS Williamson,110
DJ Mitchell & MM Ali,110
MP Stoinis & WP Saha,110
CL White & PA Patel,110
M Kaif & YK Pathan,109
AJ Finch & SS Iyer,109
AD Hales & KS Williamson,109
KL Rahul & SN Khan,109
KD Karthik & M Vijay,109
AM Rahane & R Ravindra,108
N Rana & PA Patel,108
CH Morris & JP Duminy,108
JD Ryder & M Manhas,108
KM Jadhav & MS Dhoni,108
RT Ponting & SR Tendulkar,108
B Sai Sudharsan & V Shankar,108
SC Ganguly & Salman Butt,108
RR Pant & SPD Smith,108
SA Yadav & TH David,108
PD Salt & SS Iyer,108
CL White & JP Duminy,108
D Padikkal & JR Philippe,108
RA Jadeja & S Badrinath,107
AR Patel & MK Pandey,107
BB McCullum & M Klinger,107
S Dube & V Kohli,107
BB McCullum & Ishan Kishan,107
RG Sharma & VVS Laxman,107
D Padikkal & R Parag,107
MN Samuels & RV Uthappa,107
FY Fazal & NV Ojha,106
MA Agarwal & N Pooran,106
V Kohli & Washington Sundar,106
DJ Hussey & MS Dhoni,106
AD Russell & SS Iyer,106
M Vijay & SE Marsh,106
RA Jadeja & SK Warne,105
AR Patel & Lalit Yadav,105
BB McCullum & V Kohli,105
C Munro & SS Iyer,105
AD Russell & Shakib Al Hasan,104
JP Duminy & LRPL Taylor,104
MS Dhoni & SW Billings,104
BB McCullum & CH Gayle,104
R Tewatia & RR Pant,104
KA Pollard & SS Tiwary,104
Abhishek Sharma & HC Brook,103
CA Ingram & S Dhawan,103
DPMD Jayawardene & LRPL Taylor,103
Abhishek Sharma & V Shankar,103
JP Duminy & KA Pollard,103
AB de Villiers & MA Starc,103
SM Curran & Sikandar Raza,103
AT Rayudu & Harbhajan Singh,103
A Symonds & Y Venugopal Rao,103
MV Boucher & R Dravid,102
CA Ingram & RR Pant,102
LMP Simmons & UBT Chand,102
AM Rahane & N Rana,102
J Fraser-McGurk & PP Shaw,102
AL Menaria & R Dravid,101
EJG Morgan & YK Pathan,101
SA Asnodkar & YK Pathan,101
DJ Mitchell & S Dube,101
MK Tiwary & SC Ganguly,100
JJ Roy & N Rana,100
HR Shokeen & Tilak Varma,100
CH Gayle & SN Khan,100
DA Miller & Rashid Khan,100
R Tewatia & V Shankar,99
KD Karthik & SP Narine,99
TR Birt & V Sehwag,99
M Manhas & SPD Smith,99
AK Markram & Washington Sundar,99
JP Duminy & Q de Kock,99
AM Rahane & DJ Hooda,99
Abhishek Sharma & MA Agarwal,99
Azhar Mahmood & Gurkeerat Singh,99
R Parag & SPD Smith,99
AR Patel & Kuldeep Yadav,99
SA Yadav & SS Tiwary,98
Naman Dhir & Tilak Varma,98
H Klaasen & HC Brook,98
AL Menaria & BJ Hodge,98
SS Tiwary & TM Dilshan,98
Harbhajan Singh & J Suchith,98
M Vijay & V Sehwag,97
AP Majumdar & RV Uthappa,97
AD Mathews & RV Uthappa,97
CL White & NLTC Perera,97
CL White & R Dravid,97
RG Sharma & UBT Chand,97
NV Ojha & Y Venugopal Rao,96
B Kumar & Rashid Khan,96
JJ Roy & VR Iyer,96
JP Duminy & SV Samson,96
CL White & GH Vihari,96
F du Plessis & Shahbaz Ahmed,96
BJ Rohrer & DPMD Jayawardene,96
SA Yadav & Vishnu Vinod,95
MK Pandey & SC Ganguly,95
JC Archer & R Tewatia,95
E Lewis & Ishan Kishan,95
PP Chawla & YK Pathan,95
HH Pandya & TH David,95
MM Ali & SK Raina,95
AT Rayudu & KH Pandya,94
C Green & TH David,94
JD Ryder & JH Kallis,94
CH Gayle & MK Tiwary,94
RV Uthappa & SC Ganguly,94
Mandeep Singh & V Sehwag,94
MM Ali & RV Uthappa,94
IK Pathan & JR Hopes,94
JD Unadkat & SA Yadav,94
KL Rahul & P Simran Singh,94
KS Bharat & V Kohli,94
AL Menaria & SR Watson,93
DJ Hooda & KR Mayers,93
B Sai Sudharsan & M Shahrukh Khan,93
MK Tiwary & Shakib Al Hasan,93
KR Mayers & Q de Kock,93
Abishek Porel & PP Shaw,93
KH Pandya & MJ Guptill,93
